study_id,model_type,dataset,dp_type,epsilon,worker_id,experiment_idx,best_cv_score,final_test_score,best_params,model_path,timestamp,status
attack_naive_bayes_adult_algorithm_eps_0.1_with_logistic_regression,logistic_regression,adult,algorithm,0.1,,,0.20600000000000002,0.19925,"{""solver"": ""saga"", ""penalty"": ""l1"", ""C"": 520.8260954666048, ""max_iter"": 219}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_0.1_with_logistic_regression.pkl,2025-06-30 05:21:33.474823,completed
attack_naive_bayes_adult_algorithm_eps_0.1_with_random_forest,random_forest,adult,algorithm,0.1,,,0.21175000000000002,0.2005,"{""n_estimators"": 87, ""max_depth"": 12, ""min_samples_split"": 20, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_algorithm_eps_0.1_with_random_forest.pkl,2025-06-30 05:21:59.239819,completed
attack_naive_bayes_adult_output_eps_1.0_with_naive_bayes,naive_bayes,adult,output,1.0,,,0.2053125,0.203,"{""var_smoothing"": 0.024874708467886343}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_1.0_with_naive_bayes.pkl,2025-06-30 05:22:00.069044,completed
attack_naive_bayes_adult_output_eps_1.0_with_logistic_regression,logistic_regression,adult,output,1.0,,,0.20412500000000003,0.21525,"{""solver"": ""liblinear"", ""penalty"": ""l2"", ""C"": 0.003697114486625516, ""max_iter"": 281}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_1.0_with_logistic_regression.pkl,2025-06-30 05:22:10.976317,completed
attack_naive_bayes_adult_output_eps_1.0_with_random_forest,random_forest,adult,output,1.0,,,0.21381250000000002,0.2015,"{""n_estimators"": 260, ""max_depth"": 23, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""criterion"": ""entropy""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_1.0_with_random_forest.pkl,2025-06-30 05:22:46.510868,completed
attack_naive_bayes_adult_output_eps_50.0_with_naive_bayes,naive_bayes,adult,output,50.0,,,0.22781250000000003,0.228,"{""var_smoothing"": 0.09540711765339822}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_50.0_with_naive_bayes.pkl,2025-06-30 05:22:47.356348,completed
attack_naive_bayes_adult_output_eps_50.0_with_logistic_regression,logistic_regression,adult,output,50.0,,,0.225875,0.2195,"{""solver"": ""saga"", ""penalty"": ""l2"", ""C"": 0.017679748286442643, ""max_iter"": 1177}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_50.0_with_logistic_regression.pkl,2025-06-30 05:23:32.972636,completed
attack_naive_bayes_adult_output_eps_50.0_with_random_forest,random_forest,adult,output,50.0,,,0.230125,0.22425,"{""n_estimators"": 282, ""max_depth"": 11, ""min_samples_split"": 17, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""criterion"": ""gini""}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_output_eps_50.0_with_random_forest.pkl,2025-06-30 05:24:00.752319,completed
attack_naive_bayes_adult_data_eps_100.0_with_naive_bayes,naive_bayes,adult,data,100.0,,,0.23318750000000002,0.228,"{""var_smoothing"": 0.05319049072944618}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_100.0_with_naive_bayes.pkl,2025-06-30 05:24:01.590999,completed
attack_naive_bayes_adult_data_eps_100.0_with_logistic_regression,logistic_regression,adult,data,100.0,,,0.23293749999999996,0.2275,"{""solver"": ""liblinear"", ""penalty"": ""l2"", ""C"": 0.07105908497499337, ""max_iter"": 501}",experiment_results/models/attack/naive_bayes/on_naive_bayes_adult_data_eps_100.0_with_logistic_regression.pkl,2025-06-30 05:24:13.646672,completed
